State ID,State,Year,electoralvotes
1,Delaware,1976,3
1,Delaware,1980,3
1,Delaware,1984,3
1,Delaware,1988,3
1,Delaware,1992,3
1,Delaware,1996,3
1,Delaware,2000,3
1,Delaware,2004,3
1,Delaware,2008,3
1,Delaware,2012,3
1,Delaware,2016,3
2,Pennsylvania,1976,27
2,Pennsylvania,1980,27
2,Pennsylvania,1984,25
2,Pennsylvania,1988,25
2,Pennsylvania,1992,23
2,Pennsylvania,1996,23
2,Pennsylvania,2000,23
2,Pennsylvania,2004,21
2,Pennsylvania,2008,21
2,Pennsylvania,2012,20
2,Pennsylvania,2016,20
3,New Jersey,1976,17
3,New Jersey,1980,17
3,New Jersey,1984,16
3,New Jersey,1988,16
3,New Jersey,1992,15
3,New Jersey,1996,15
3,New Jersey,2000,15
3,New Jersey,2004,15
3,New Jersey,2008,15
3,New Jersey,2012,14
3,New Jersey,2016,14
4,Georgia,1976,12
4,Georgia,1980,12
4,Georgia,1984,12
4,Georgia,1988,12
4,Georgia,1992,13
4,Georgia,1996,13
4,Georgia,2000,13
4,Georgia,2004,15
4,Georgia,2008,15
4,Georgia,2012,16
4,Georgia,2016,16
5,Connecticut,1976,8
5,Connecticut,1980,8
5,Connecticut,1984,8
5,Connecticut,1988,8
5,Connecticut,1992,8
5,Connecticut,1996,8
5,Connecticut,2000,8
5,Connecticut,2004,7
5,Connecticut,2008,7
5,Connecticut,2012,7
5,Connecticut,2016,7
6,Massachusetts,1976,14
6,Massachusetts,1980,14
6,Massachusetts,1984,13
6,Massachusetts,1988,13
6,Massachusetts,1992,12
6,Massachusetts,1996,12
6,Massachusetts,2000,12
6,Massachusetts,2004,12
6,Massachusetts,2008,12
6,Massachusetts,2012,11
6,Massachusetts,2016,11
7,Maryland,1976,10
7,Maryland,1980,10
7,Maryland,1984,10
7,Maryland,1988,10
7,Maryland,1992,10
7,Maryland,1996,10
7,Maryland,2000,10
7,Maryland,2004,10
7,Maryland,2008,10
7,Maryland,2012,10
7,Maryland,2016,10
8,South Carolina,1976,8
8,South Carolina,1980,8
8,South Carolina,1984,8
8,South Carolina,1988,8
8,South Carolina,1992,8
8,South Carolina,1996,8
8,South Carolina,2000,8
8,South Carolina,2004,8
8,South Carolina,2008,8
8,South Carolina,2012,9
8,South Carolina,2016,9
9,New Hampshire,1976,4
9,New Hampshire,1980,4
9,New Hampshire,1984,4
9,New Hampshire,1988,4
9,New Hampshire,1992,4
9,New Hampshire,1996,4
9,New Hampshire,2000,4
9,New Hampshire,2004,4
9,New Hampshire,2008,4
9,New Hampshire,2012,4
9,New Hampshire,2016,4
10,Virginia,1976,12
10,Virginia,1980,12
10,Virginia,1984,12
10,Virginia,1988,12
10,Virginia,1992,13
10,Virginia,1996,13
10,Virginia,2000,13
10,Virginia,2004,13
10,Virginia,2008,13
10,Virginia,2012,13
10,Virginia,2016,13
11,New York,1976,41
11,New York,1980,41
11,New York,1984,36
11,New York,1988,36
11,New York,1992,33
11,New York,1996,33
11,New York,2000,33
11,New York,2004,31
11,New York,2008,31
11,New York,2012,29
11,New York,2016,29
12,North Carolina,1976,13
12,North Carolina,1980,13
12,North Carolina,1984,13
12,North Carolina,1988,13
12,North Carolina,1992,14
12,North Carolina,1996,14
12,North Carolina,2000,14
12,North Carolina,2004,15
12,North Carolina,2008,15
12,North Carolina,2012,15
12,North Carolina,2016,15
13,Rhode Island,1976,4
13,Rhode Island,1980,4
13,Rhode Island,1984,4
13,Rhode Island,1988,4
13,Rhode Island,1992,4
13,Rhode Island,1996,4
13,Rhode Island,2000,4
13,Rhode Island,2004,4
13,Rhode Island,2008,4
13,Rhode Island,2012,4
13,Rhode Island,2016,4
14,Vermont,1976,3
14,Vermont,1980,3
14,Vermont,1984,3
14,Vermont,1988,3
14,Vermont,1992,3
14,Vermont,1996,3
14,Vermont,2000,3
14,Vermont,2004,3
14,Vermont,2008,3
14,Vermont,2012,3
14,Vermont,2016,3
15,Kentucky,1976,9
15,Kentucky,1980,9
15,Kentucky,1984,9
15,Kentucky,1988,9
